username,ppid,name,pid
root,0,systemd,1
root,0,kthreadd,2
root,2,rcu_gp,3
root,2,rcu_par_gp,4
root,2,slub_flushwq,5
root,2,netns,6
root,2,kworker/0:0H-events_highpri,8
root,2,mm_percpu_wq,11
root,2,rcu_tasks_kthread,12
root,2,rcu_tasks_rude_kthread,13
root,2,rcu_tasks_trace_kthread,14
root,2,ksoftirqd/0,15
root,2,rcu_preempt,16
root,2,migration/0,17
root,2,idle_inject/0,18
root,2,cpuhp/0,19
root,2,cpuhp/2,20
root,2,idle_inject/2,21
root,2,migration/2,22
root,2,ksoftirqd/2,23
root,2,kworker/2:0H-events_highpri,25
root,2,cpuhp/4,26
root,2,idle_inject/4,27
root,2,migration/4,28
root,2,ksoftirqd/4,29
root,2,kworker/4:0H-events_highpri,31
root,2,cpuhp/6,32
root,2,idle_inject/6,33
root,2,migration/6,34
root,2,ksoftirqd/6,35
root,2,kworker/6:0H-events_highpri,37
root,2,cpuhp/8,38
root,2,idle_inject/8,39
root,2,migration/8,40
root,2,ksoftirqd/8,41
root,2,kworker/8:0H-events_highpri,43
root,2,cpuhp/10,44
root,2,idle_inject/10,45
root,2,migration/10,46
root,2,ksoftirqd/10,47
root,2,kworker/10:0H-events_highpri,49
root,2,cpuhp/1,50
root,2,idle_inject/1,51
root,2,migration/1,52
root,2,ksoftirqd/1,53
root,2,kworker/1:0H-events_highpri,55
root,2,cpuhp/3,56
root,2,idle_inject/3,57
root,2,migration/3,58
root,2,ksoftirqd/3,59
root,2,kworker/3:0H-events_highpri,61
root,2,cpuhp/5,62
root,2,idle_inject/5,63
root,2,migration/5,64
root,2,ksoftirqd/5,65
root,2,kworker/5:0H-events_highpri,67
root,2,cpuhp/7,68
root,2,idle_inject/7,69
root,2,migration/7,70
root,2,ksoftirqd/7,71
root,2,kworker/7:0H-events_highpri,73
root,2,cpuhp/9,74
root,2,idle_inject/9,75
root,2,migration/9,76
root,2,ksoftirqd/9,77
root,2,kworker/9:0H-events_highpri,79
root,2,cpuhp/11,80
root,2,idle_inject/11,81
root,2,migration/11,82
root,2,ksoftirqd/11,83
root,2,kworker/11:0H-events_highpri,85
root,2,kdevtmpfs,86
root,2,inet_frag_wq,87
root,2,kauditd,89
root,2,khungtaskd,90
root,2,oom_reaper,91
root,2,writeback,93
root,2,kcompactd0,94
root,2,ksmd,95
root,2,khugepaged,97
root,2,kintegrityd,98
root,2,kblockd,99
root,2,blkcg_punt_bio,100
root,2,tpm_dev_wq,102
root,2,ata_sff,103
root,2,md,104
root,2,md_bitmap,105
root,2,edac-poller,106
root,2,devfreq_wq,107
root,2,watchdogd,108
root,2,kworker/10:1H-kblockd,109
root,2,irq/25-AMD-Vi,110
root,2,kswapd0,111
root,2,ecryptfs-kthread,112
root,2,kthrotld,114
root,2,acpi_thermal_pm,123
root,2,mld,125
root,2,kworker/11:1H-kblockd,126
root,2,ipv6_addrconf,127
root,2,kstrp,134
root,2,charger_manager,141
root,2,kworker/9:1H-kblockd,160
root,2,kworker/0:1H-kblockd,165
root,2,kworker/5:1H-kblockd,166
root,2,kworker/7:1H-kblockd,178
root,2,kworker/8:1H-kblockd,179
root,2,kworker/6:1H-kblockd,180
root,2,kworker/4:1H-kblockd,181
root,2,kworker/1:1H-kblockd,182
root,2,kworker/2:1H-kblockd,183
root,2,kworker/3:1H-kblockd,184
root,2,irq/32-ELAN06FA:00,197
root,2,scsi_eh_0,227
root,2,scsi_tmf_0,228
root,2,nvme-wq,229
root,2,nvme-reset-wq,230
root,2,nvme-delete-wq,231
root,2,nvme-auth-wq,232
root,2,scsi_eh_1,233
root,2,scsi_tmf_1,234
root,2,jbd2/nvme0n1p6-8,261
root,2,ext4-rsv-conver,262
root,1,systemd-journald,301
root,1,systemd-udevd,356
root,2,jbd2/nvme0n1p7-8,449
root,2,ext4-rsv-conver,450
root,2,cfg80211,457
root,2,irq/78-iwlwifi:default_queue,499
root,2,irq/79-iwlwifi:queue_1,500
root,2,irq/80-iwlwifi:queue_2,501
root,2,irq/81-iwlwifi:queue_3,502
root,2,irq/82-iwlwifi:queue_4,503
root,2,irq/83-iwlwifi:queue_5,504
root,2,irq/84-iwlwifi:queue_6,505
root,2,irq/85-iwlwifi:queue_7,508
root,2,irq/86-iwlwifi:queue_8,509
root,2,irq/87-iwlwifi:queue_9,510
root,2,irq/88-iwlwifi:queue_10,511
root,2,irq/89-iwlwifi:queue_11,512
root,2,irq/90-iwlwifi:queue_12,513
root,2,irq/91-iwlwifi:exception,514
systemd-oom,1,systemd-oomd,518
systemd-resolve,1,systemd-resolved,519
systemd-timesync,1,systemd-timesyncd,520
root,2,cryptd,638
root,1,accounts-daemon,645
root,1,acpid,646
avahi,1,avahi-daemon,649
root,1,bluetoothd,651
root,1,cron,652
messagebus,1,dbus-daemon,654
root,1,NetworkManager,655
root,1,irqbalance,662
root,1,networkd-dispat,663
root,1,polkitd,667
root,1,power-profiles-daemon,669
syslog,1,rsyslogd,671
root,1,snapd,678
root,1,switcheroo-control,682
root,1,systemd-logind,687
root,1,udisksd,693
root,1,wpa_supplicant,694
avahi,649,avahi-daemon,707
root,1,ModemManager,730
root,1,cupsd,766
root,2,nv_queue,782
root,2,nv_queue,783
root,1,unattended-upgr,793
root,2,nvidia-modeset/kthread_q,820
root,2,nvidia-modeset/deferred_close_kthread_q,821
root,2,irq/95-nvidia,827
root,2,nvidia,828
root,2,nv_queue,829
root,1,gdm3,1011
root,2,UVM global queue,1095
root,2,UVM deferred release queue,1096
root,2,UVM Tools Event Queue,1097
nvidia-persistenced,1,nvidia-persistenced,1101
rtkit,1,rtkit-daemon,1163
root,1,upowerd,1298
root,1,cups-browsed,1333
kernoops,1,kerneloops,1339
kernoops,1,kerneloops,1341
root,1,packagekitd,1369
colord,1,colord,1483
root,1011,gdm-session-worker,1636
yura,1,systemd,1655
yura,1655,(sd-pam),1656
yura,1655,pipewire,1662
yura,1655,pipewire-media-session,1663
yura,1655,pulseaudio,1664
yura,1655,ubuntu-report,1667
yura,1,gnome-keyring-daemon,1680
yura,1655,dbus-daemon,1685
yura,1655,gvfsd,1688
yura,1655,gvfsd-fuse,1693
yura,1655,tracker-miner-fs-3,1719
yura,1655,xdg-document-portal,1720
yura,1655,xdg-permission-store,1723
yura,1720,fusermount3,1729
root,2,krfcommd,1750
yura,1655,gvfs-udisks2-volume-monitor,1752
yura,1655,gvfs-gphoto2-volume-monitor,1760
yura,1655,gvfs-mtp-volume-monitor,1764
yura,1655,gvfs-goa-volume-monitor,1768
yura,1655,goa-daemon,1772
yura,1655,goa-identity-service,1779
yura,1655,gvfs-afc-volume-monitor,1781
yura,1636,gdm-x-session,1839
yura,1839,Xorg,1841
yura,1839,gnome-session-binary,1856
yura,1655,snapd-desktop-integration,1872
yura,1655,at-spi-bus-launcher,1981
yura,1981,dbus-daemon,2000
yura,1872,snapd-desktop-integration,2009
yura,1655,xdg-desktop-portal,2013
yura,1655,xdg-desktop-portal-gnome,2017
yura,1655,gnome-session-ctl,2023
yura,1655,gnome-session-binary,2036
yura,1655,gnome-shell,2059
yura,1655,xdg-desktop-portal-gtk,2072
yura,1655,at-spi2-registryd,2080
yura,1655,gnome-shell-calendar-server,2130
yura,1655,evolution-source-registry,2137
yura,1655,dconf-service,2144
yura,1655,evolution-calendar-factory,2149
yura,1655,evolution-addressbook-factory,2160
yura,1688,gvfsd-trash,2170
yura,1655,gjs,2186
yura,1655,sh,2204
yura,1655,gsd-a11y-settings,2205
yura,2204,ibus-daemon,2207
yura,1655,gsd-color,2208
yura,1655,gsd-datetime,2211
yura,1655,gsd-housekeeping,2214
yura,1655,gsd-keyboard,2218
yura,1655,gsd-media-keys,2220
yura,1655,gsd-power,2221
yura,1655,gsd-print-notifications,2225
yura,1655,gsd-rfkill,2228
yura,1655,gsd-screensaver-proxy,2229
yura,1655,gsd-sharing,2231
yura,1655,gsd-smartcard,2233
yura,1655,gsd-sound,2235
yura,1655,gsd-wacom,2239
yura,1655,gsd-xsettings,2241
yura,2036,gsd-disk-utility-notify,2253
yura,2207,ibus-dconf,2262
yura,2207,ibus-extension-gtk3,2263
yura,1655,ibus-x11,2271
yura,1655,ibus-portal,2276
yura,2036,evolution-alarm-notify,2282
yura,1655,gsd-printer,2328
yura,1655,snap-store,2351
yura,1655,gjs,2411
yura,2207,ibus-engine-simple,2412
yura,2059,gjs,2605
yura,1655,gvfsd-metadata,2646
yura,2059,firefox,3496
yura,3496,Socket Process,3657
yura,3496,Privileged Cont,3690
yura,3496,Isolated Web Co,3727
yura,3496,Isolated Web Co,3731
yura,3496,Isolated Web Co,3734
yura,3496,Isolated Web Co,3741
yura,3496,Isolated Web Co,3754
yura,3496,Isolated Web Co,3774
yura,3496,Isolated Web Co,3789
yura,3496,Isolated Web Co,3825
yura,3496,Isolated Web Co,3851
yura,3496,Isolated Web Co,3872
yura,3496,Isolated Web Co,3880
yura,3496,Isolated Web Co,3910
yura,3496,Isolated Web Co,3932
yura,3496,Isolated Web Co,3958
yura,3496,Isolated Web Co,3978
yura,3496,Isolated Web Co,4002
yura,3496,Isolated Web Co,4019
yura,3496,Isolated Web Co,4052
yura,3496,Isolated Web Co,4061
yura,1655,snap,4169
yura,3496,WebExtensions,4271
yura,3496,Isolated Servic,4278
yura,3496,RDD Process,4499
yura,3496,Utility Process,4501
yura,2059,telegram-desktop,4567
yura,3496,Isolated Web Co,4785
yura,3496,Isolated Web Co,5146
yura,1655,code,5257
yura,5257,code,5260
yura,5257,code,5261
yura,1655,chrome_crashpad_handler,5276
yura,3496,Isolated Web Co,5324
yura,5257,code,5377
yura,5257,code,5395
yura,3496,Isolated Web Co,5436
yura,3496,Isolated Web Co,5473
yura,5261,code,5487
yura,3496,Isolated Web Co,5563
yura,3496,Isolated Web Co,5663
yura,5257,code,5664
yura,5257,code,5680
yura,5261,code,5897
yura,5257,code,5911
yura,5257,code,5912
yura,5664,bash,5944
yura,5664,bash,6036
yura,5680,python,6038
yura,5680,code,6105
yura,3496,Isolated Web Co,6189
yura,2036,update-notifier,6328
root,2,kworker/7:2-events,9024
root,2,kworker/u33:2-rb_allocator,9379
yura,1680,ssh-agent,9869
root,2,kworker/u32:1-ext4-rsv-conversion,10283
root,2,kworker/11:2-events,12381
root,2,kworker/9:0-events,12523
root,2,kworker/u33:0-rb_allocator,12824
yura,1655,launcher.sh,13059
yura,13059,ZoomLauncher,13155
yura,13155,zoom,13156
yura,13156,zoom,13167
yura,13156,zoom,13168
yura,13168,zoom,13184
yura,13167,zoom,13198
yura,13156,zoom,13220
root,2,kworker/u32:2-events_unbound,13345
root,2,kworker/0:1-events,14379
root,2,kworker/3:1-events,14411
root,2,kworker/5:0-events,14475
root,2,kworker/6:0-inet_frag_wq,15137
yura,5680,code,15317
yura,13184,zoom,15443
yura,13184,zoom,15449
yura,13184,zoom,15451
root,2,kworker/2:0-events,15580
root,2,kworker/4:0-inet_frag_wq,15868
root,2,kworker/1:0-events,16225
root,2,kworker/8:0-inet_frag_wq,16226
root,2,kworker/3:2-events,16263
root,2,kworker/9:2-events,16347
root,2,kworker/u32:0-events_power_efficient,16449
root,2,kworker/10:0-events,16488
root,2,kworker/0:2-events,16489
root,2,kworker/7:0-inet_frag_wq,16541
root,2,kworker/5:1-mm_percpu_wq,16575
root,2,kworker/6:1-events,16621
root,2,kworker/4:2-mm_percpu_wq,16818
root,2,kworker/11:0-events,16852
root,2,kworker/8:1-events,17128
root,2,kworker/1:2-events,17213
root,2,kworker/2:1-inet_frag_wq,17214
root,2,kworker/10:2-events,17249
root,2,kworker/3:0-events,17326
root,2,kworker/0:0-events,17327
root,2,kworker/7:1-events,17328
root,2,kworker/u33:1-rb_allocator,17415
root,2,kworker/6:2-events,17478
root,2,kworker/4:1,17488
root,2,kworker/u32:3,17525
root,2,kworker/9:1-events,17539
root,2,kworker/11:1-events,17574
root,2,kworker/2:2-events,17610
yura,3496,Isolated Web Co,17611
yura,5944,python3,17647
yura,5664,sh,17652
yura,17652,cpuUsage.sh,17653
yura,17653,sleep,17657
